Country,Fossil Fuel Dependency (%),Carbon Emissions (Million Tons)
Australias,45.1086679725759,2580.429833496572
Brazils,44.71352390852391,2542.0976611226615
Canadas,44.24493608652901,2536.733706981318
Chinas,45.955939086294414,2596.8633197969543
Germanys,45.419351184346034,2498.7520391349126
Indias,45.09382530120482,2544.8167269076307
Japans,44.54938631790744,2518.3011770623743
Russias,44.81608695652174,2494.4589958592132
UKs,44.40376573088093,2540.3832623426915
USAs,45.039800569800576,2509.4836277302943
