Country,Year,Total_Energy_Consumption_(TWh),Per_Capita_Energy_Use_(kWh),Renewable_Energy_Share_(%),Fossil_Fuel_Dependency_(%),Industrial_Energy_Use_(%),Household_Energy_Use_(%),Carbon_Emissions_(Million_Tons),Energy_Price_Index_(USD-kWh)
Canada,2000,5518.9432,23702.952,53.0698,41.2693,38.2661,25.4411,2303.5434,0.2652
Canada,2001,5010.3378,28981.8761,49.5544,41.0989,37.6164,24.2589,2268.63,0.3031
Canada,2002,4663.5236,26679.7759,48.5185,47.0646,35.5056,24.6208,2224.9238,0.2972
Canada,2003,5826.3332,24595.7803,46.2742,41.2687,37.7845,23.2397,2646.3368,0.2752
Canada,2004,5550.946,24104.8333,47.6507,40.3152,38.4676,25.7031,2822.2674,0.2643
Canada,2005,5810.0808,24473.0567,37.0356,47.1654,39.8326,23.8162,2487.4664,0.2856
Canada,2006,5102.5061,24491.1731,52.7572,49.1119,38.9989,26.9306,2672.59,0.27
Canada,2007,5352.8776,27588.0551,46.8095,42.8563,40.9246,23.1944,2514.5346,0.2932
Canada,2008,4939.4646,25354.7377,44.9705,44.2126,40.9023,24.0636,2361.8821,0.2487
Canada,2009,5379.6563,25314.2286,41.846,47.59,39.6191,25.1491,2330.516,0.2529
Canada,2010,5762.6025,26373.5682,52.1696,43.9661,41.5936,26.6479,2693.6346,0.3339
Canada,2011,4723.6598,23641.0509,51.1142,38.7344,40.7328,27.2935,2299.6344,0.2984
Canada,2012,5251.8178,21223.9356,44.0903,44.3911,42.9336,27.5303,2095.5361,0.2519
Canada,2013,4767.5867,27284.042,47.1928,46.7083,40.1335,24.5828,3053.6776,0.275
Canada,2014,4773.3342,23758.8711,51.9826,48.2616,39.8082,21.6418,2804.7671,0.2642
Canada,2015,4896.9142,25210.2777,44.7511,43.1912,37.7246,25.677,2461.0014,0.2674
Canada,2016,5451.8226,27995.6534,55.25,37.1413,42.8276,24.1324,2835.0487,0.3192
Canada,2017,5645.3522,26814.2505,46.412,41.1005,41.746,25.7543,2491.177,0.28
Canada,2018,4803.7514,23179.1351,45.0722,47.4254,40.3919,24.6538,2471.4257,0.2746
Canada,2019,4339.251,24266.1296,49.2075,49.5563,38.7106,24.9367,2480.5965,0.2898
Canada,2020,4713.8946,25287.8031,46.2438,44.4025,40.5085,25.1177,2827.8612,0.289
Canada,2021,5103.517,26545.9222,44.9578,46.8559,40.9824,24.0757,2461.0824,0.302
Canada,2022,4180.5076,24443.8584,48.2578,38.4984,39.4111,25.7008,2506.5008,0.2076
Canada,2023,5273.3241,26256.3855,51.968,46.5361,41.4559,26.3709,2478.2605,0.2975
Canada,2024,5033.4648,24150.6069,46.1821,45.8598,42.8412,26.169,2739.016,0.2745
