Country,Year,Total_Energy_Consumption_(TWh),Per_Capita_Energy_Use_(kWh),Renewable_Energy_Share_(%),Fossil_Fuel_Dependency_(%),Industrial_Energy_Use_(%),Household_Energy_Use_(%),Carbon_Emissions_(Million_Tons),Energy_Price_Index_(USD-kWh)
China,2000,4971.3789,24544.6293,46.4243,45.6036,37.6241,22.4816,2392.6798,0.2827
China,2001,4624.71,21630.8091,48.8112,44.235,43.1626,25.6494,2379.0424,0.2953
China,2002,4746.8804,27737.2587,41.6957,47.0517,40.203,24.6078,2716.0852,0.2778
China,2003,4839.0819,27001.4777,47.6679,45.3506,38.7154,25.0638,2593.0377,0.2788
China,2004,5850.1665,25838.9128,43.6,46.225,39.8735,23.944,2481.0002,0.2728
China,2005,5081.7809,24862.2268,49.1693,46.0205,36.698,26.0727,2263.6895,0.3232
China,2006,5337.3042,23883.7272,53.8268,48.1215,35.962,25.5812,2600.4622,0.24
China,2007,4833.8756,26866.3628,41.2702,45.7823,39.3107,25.1205,2591.1802,0.2721
China,2008,5074.0359,23950.5419,43.0778,47.2397,41.4646,24.0249,2556.8854,0.2814
China,2009,5156.3592,22634.6777,45.4321,42.9527,38.7538,25.3073,2721.8975,0.2602
China,2010,4705.0959,23635.4841,48.2366,43.9283,35.9721,24.58,2779.4897,0.2786
China,2011,5265.9363,25062.0634,52.6205,45.0539,41.1459,25.6829,2896.6883,0.2876
China,2012,5101.24,22964.2687,51.7934,44.3853,39.7237,23.4118,2562.42,0.2821
China,2013,4682.8409,30162.7591,54.2297,47.6091,40.1137,24.358,2659.346,0.33
China,2014,5677.0015,26306.4666,48.99,46.4266,42.2885,25.8887,2536.467,0.2683
China,2015,4610.4069,29072.9815,46.1582,50.7985,38.6433,24.9003,2468.3654,0.2874
China,2016,4321.6473,26513.6412,47.8952,45.675,40.1996,25.5992,2519.0885,0.2767
China,2017,5418.3025,21038.2114,42.6461,48.6803,39.245,26.9658,3040.2325,0.245
China,2018,4578.8218,25483.3052,47.9509,42.5243,38.3377,26.7034,2570.1225,0.2757
China,2019,5484.189,22964.8,42.4363,52.564,42.2443,25.4467,2569.3403,0.315
China,2020,5415.4346,26065.4943,41.8897,48.5349,41.3114,26.714,2546.9114,0.2903
China,2021,5563.3109,23487.8619,39.1951,46.2388,43.4193,25.1312,2421.9979,0.274
China,2022,4182.5162,26982.1397,52.9894,39.1615,40.8418,24.2529,2908.0215,0.2797
China,2023,4953.8207,27464.2509,46.6884,45.5681,39.4328,28.0493,2637.886,0.2802
China,2024,5342.0605,26335.8937,48.4653,45.5068,42.0492,25.6292,2730.9716,0.2958
