Country,Year,Total_Energy_Consumption_(TWh),Per_Capita_Energy_Use_(kWh),Renewable_Energy_Share_(%),Fossil_Fuel_Dependency_(%),Industrial_Energy_Use_(%),Household_Energy_Use_(%),Carbon_Emissions_(Million_Tons),Energy_Price_Index_(USD-kWh)
India,2000,4628.0255,25371.7503,43.7403,45.7448,40.3203,24.1188,2144.4033,0.2773
India,2001,5283.0803,28772.2697,50.2505,42.7285,41.4851,23.3695,2632.5487,0.2392
India,2002,5730.1487,24502.673,49.0957,44.794,40.854,26.9817,2395.693,0.2803
India,2003,5579.5741,27904.0521,38.8833,46.9921,39.7,26.9979,2621.9969,0.3013
India,2004,4739.7842,26244.8592,47.4014,47.7328,39.5925,21.7978,2589.3617,0.3042
India,2005,6014.9448,23030.2879,44.32,41.7771,38.2733,25.2936,2488.5231,0.2938
India,2006,5998.4852,20428.5694,50.593,53.6321,42.0776,27.4488,2878.0582,0.243
India,2007,5454.3935,24871.815,50.574,46.4082,37.6192,25.2005,2605.7397,0.2515
India,2008,5362.2051,25264.088,45.621,45.0161,42.1449,25.5544,2397.58,0.268
India,2009,4387.1081,25228.6559,48.5438,44.9376,38.6876,26.0976,2568.0632,0.2673
India,2010,4999.0663,27077.3374,44.17,39.1434,38.6137,25.8279,2591.2847,0.2582
India,2011,5620.9979,23304.8867,44.4912,39.99,39.5342,23.7836,2078.1918,0.2739
India,2012,4749.1261,25823.1157,52.1631,49.838,41.4841,25.4665,2530.7283,0.24
India,2013,6033.6362,25985.9867,45.0223,47.2941,39.1897,23.6159,2360.3474,0.2677
India,2014,5174.7905,23031.5478,42.1757,43.7859,38.7411,23.6614,2588.5711,0.2811
India,2015,5569.5676,22932.0455,46.8888,42.342,41.1216,24.1075,2517.5192,0.2363
India,2016,5190.3753,20494.8251,46.7773,46.9382,39.678,25.6236,2765.1444,0.2782
India,2017,4987.6271,24862.4075,49.3412,43.0767,42.6098,25.0192,2340.5151,0.2545
India,2018,5530.0256,25650.7525,56.4575,49.1977,40.4896,25.099,2537.314,0.264
India,2019,6172.6628,21551.9944,50.5359,45.6616,40.8519,28.4447,2777.3034,0.3066
India,2020,5413.3527,23350.192,47.6777,41.6609,37.6875,22.6548,2942.2707,0.2891
India,2021,4680.3306,22188.4179,47.2918,41.2158,38.9024,22.6367,2186.3394,0.2494
India,2022,4922.3515,24709.1442,52.0148,46.6392,39.2575,27.2958,2911.8571,0.2792
India,2023,5353.2608,25293.0711,45.4922,49.6665,42.3516,27.7208,2348.9251,0.2992
India,2024,4163.4731,21407.8522,47.4706,38.5284,40.9422,27.795,2624.4228,0.2716
