Country,Year,Total_Energy_Consumption_(TWh),Per_Capita_Energy_Use_(kWh),Renewable_Energy_Share_(%),Fossil_Fuel_Dependency_(%),Industrial_Energy_Use_(%),Household_Energy_Use_(%),Carbon_Emissions_(Million_Tons),Energy_Price_Index_(USD-kWh)
Russia,2000,4496.3915,28208.3068,52.6865,45.1774,38.5065,26.93,2560.4256,0.2979
Russia,2001,4796.7275,30137.6138,47.941,39.215,40.3672,25.8455,2325.5848,0.287
Russia,2002,5570.2977,25991.9855,51.3282,46.7832,41.737,26.2336,2500.6327,0.2882
Russia,2003,4809.3222,26589.3583,43.4325,47.6561,42.7958,23.6811,2273.0644,0.2436
Russia,2004,6259.6111,22746.9124,49.4947,44.85,40.9587,25.3187,2379.4121,0.2774
Russia,2005,4385.2824,21986.3235,46.8121,42.4944,38.8138,25.3674,2708.8529,0.2779
Russia,2006,4354.2058,21757.162,45.9413,42.8062,38.2791,24.8976,2339.5598,0.2567
Russia,2007,4846.8506,26560.5149,50.664,48.264,37.1094,23.4098,2415.7768,0.2596
Russia,2008,5741.1422,24769.7545,51.0358,39.0922,42.017,23.927,2552.5697,0.2612
Russia,2009,4966.3617,23592.736,44.301,44.3963,40.3342,25.8542,2838.6252,0.2571
Russia,2010,4747.7591,22508.2557,50.7214,41.4166,39.716,23.448,2684.6431,0.276
Russia,2011,5633.2048,29475.4345,43.3345,48.2136,38.8664,24.3748,2303.2009,0.2691
Russia,2012,4688.0256,25132.0803,41.8256,44.9236,42.8261,28.5925,2640.8586,0.2792
Russia,2013,5000.8624,24350.4221,49.2279,44.7562,39.5983,26.2062,2440.3855,0.2666
Russia,2014,5274.5434,26492.7839,43.842,46.9673,38.2893,24.105,2521.6145,0.2902
Russia,2015,4441.4969,29562.5943,51.4374,44.7691,37.9554,26.0237,2571.546,0.2677
Russia,2016,5686.01,22030.9012,52.9279,46.5159,40.0382,23.1871,2866.2147,0.2812
Russia,2017,4325.9558,25436.6742,38.4088,41.71,39.1662,24.3483,2798.7933,0.2908
Russia,2018,5327.3558,24982.0974,47.4853,47.1528,37.2519,25.4493,1888.3509,0.2777
Russia,2019,5183.89,24418.0891,44.8176,45.3424,42.9444,25.0024,2171.2506,0.2382
Russia,2020,5724.279,27648.2628,50.6292,43.394,39.8168,23.445,2558.92,0.239
Russia,2021,4373.38,25511.6682,44.8111,44.0321,40.2592,24.1816,2177.1939,0.27
Russia,2022,5169.189,25888.064,50.6857,48.301,40.2914,25.0005,2600.0631,0.2383
Russia,2023,4921.0342,23461.807,43.4894,45.8026,40.2754,23.5592,2691.3918,0.274
Russia,2024,5392.822,27773.0597,55.4905,46.9675,39.5355,26.648,2556.8488,0.2778
