Country,Year,Total_Energy_Consumption_(TWh),Per_Capita_Energy_Use_(kWh),Renewable_Energy_Share_(%),Fossil_Fuel_Dependency_(%),Industrial_Energy_Use_(%),Household_Energy_Use_(%),Carbon_Emissions_(Million_Tons),Energy_Price_Index_(USD-kWh)
USA,2000,5481.5587,25701.2597,48.9928,48.5733,40.6654,25.3646,2340.0897,0.2736
USA,2001,5105.6354,23942.8192,49.7197,52.5441,40.9438,22.11,2965.0323,0.2518
USA,2002,5379.5148,22036.2938,42.2244,45.8935,40.2829,26.0871,2325.8606,0.2858
USA,2003,5415.6807,24228.3572,51.0067,42.3113,39.6235,24.4033,2801.432,0.2672
USA,2004,4813.5905,25002.5908,43.0192,43.1735,39.4641,24.0832,2302.1627,0.2795
USA,2005,4735.199,24981.3308,52.0381,49.869,40.1623,25.8319,2662.5206,0.3179
USA,2006,4850.8468,24670.7602,47.6153,45.6123,39.7536,24.9985,2403.9747,0.2964
USA,2007,5364.3933,22728.6905,51.5226,43.58,39.7967,26.0105,2401.1881,0.305
USA,2008,4967.7,24745.1931,50.5579,44.4888,40.245,24.4212,2599.8677,0.271
USA,2009,5217.4305,22739.7587,48.0332,43.1621,39.4605,22.5934,2784.285,0.2876
USA,2010,4969.2826,26307.6361,42.5991,43.8135,41.2017,22.5222,2465.9417,0.2843
USA,2011,5091.1571,29129.0017,47.2151,39.18,43.7773,27.3646,2188.4646,0.2837
USA,2012,5866.3052,22835.8437,44.107,42.6763,37.9902,25.6344,2216.1289,0.2535
USA,2013,5414.3423,24611.15,46.583,43.6047,43.2647,25.1114,2032.9953,0.2667
USA,2014,5913.9703,28079.3595,46.2505,49.695,43.2755,23.7755,2607.9145,0.2892
USA,2015,5584.3218,25517.1132,47.0521,47.3176,36.9824,24.7662,2377.8053,0.2771
USA,2016,6227.55,26890.1105,51.2902,46.1659,39.2307,24.6523,2359.762,0.2725
USA,2017,5507.5379,29838.5803,51.16,42.5268,40.6355,23.3113,2974.8621,0.2579
USA,2018,5740.5644,25529.7705,46.5434,39.8188,38.4588,28.3941,2092.0959,0.2568
USA,2019,5190.3867,24486.828,50.2139,45.8767,39.4359,23.378,3037.3972,0.2609
USA,2020,5658.5704,23587.8947,51.2087,48.218,41.6322,25.8236,2607.2793,0.2444
USA,2021,5265.4092,24416.1949,50.4606,45.0782,40.3261,25.4437,2601.5167,0.288
USA,2022,5086.0864,25874.8598,42.7234,46.5784,41.602,25.7223,2839.1734,0.26
USA,2023,5298.9295,23586.3552,48.9731,46.2907,39.1676,24.4552,2406.3,0.2467
USA,2024,4751.7092,26660.4614,50.9892,39.1819,38.2489,25.2465,2319.5103,0.2849
